image_file,layer_name,x_pos,y_pos,width,height
bg.png,BG,0,0,1856,1236
s.png,s,1572,157
o.png,1,78,631
o.png,2,297,631
o.png,3,523,631
o.png,4,740,631
o.png,5,970,631
o.png,6,1191,631
o.png,7,1410,631
o.png,8,1620,631
d.png,d,37,37
o.png,n,523,320
o.png,o,724,320
o.png,lplay,1382,965
o.png,lr,1162,965
o.png,ls,1600,965
o.png,mplay,386,965
o.png,param,826,965
o.png,sys,607,965
o.png,splay,79,965
